pvm,Utsjoki,Oulu,Helsinki
2024-1-1,-29,-21.5,-15.8
2024-1-2,-29.4,-27.5,-16.4
2024-1-3,-25.8,-22.5,-16.4
2024-1-4,-29.1,-26.7,-17.1
2024-1-5,-25.4,-26.5,-15.9
2024-1-6,-20.7,-25.2,-15.1
2024-1-7,-8.5,-13.7,-19.3
2024-1-8,-8.9,-7.7,-6.5
2024-1-9,-8,-0.2,0.4
2024-1-10,-7.6,-0.3,1.4
2024-1-11,-21.7,-11.9,-4
2024-1-12,-28.8,-15.4,-7.9
2024-1-13,-21.9,-11.5,-8.3
2024-1-14,-25.1,-17.6,-5.9
2024-1-15,-29,-24.8,-8.9
2024-1-16,-32.2,-20,-16
2024-1-17,-18.6,-25.2,-9.6
2024-1-18,-25.5,-16.3,-4.3
2024-1-19,-33.6,-17.3,-9
2024-1-20,-21.5,-19.2,-15
2024-1-21,-27.1,-6.5,-4.4
2024-1-22,-15.5,-0.2,0.6
2024-1-23,-5,0.3,2.8
2024-1-24,-11.6,-5.6,0.8
2024-1-25,-12.1,-14.2,-0.7
2024-1-26,-8.3,-12.1,-5.3
2024-1-27,-4.3,-4.1,-2.2
2024-1-28,-0.3,0.8,1.7
2024-1-29,1.8,2.5,2.5
2024-1-30,0.5,1.7,0.2
2024-1-31,-0.6,0.3,1.4
2024-2-1,-1,0.2,2
2024-2-2,-8,-4.2,0.4
2024-2-3,-5.5,-1.1,1.7
2024-2-4,-3.8,-3.4,0.8
2024-2-5,-15.6,-6.9,-1.8
2024-2-6,-26.5,-15.7,-5
2024-2-7,-23.5,-18.9,-10.2
2024-2-8,-28.3,-19.6,-13.4
2024-2-9,-25,-20.3,-13.2
2024-2-10,-32.4,-17,-12.3
2024-2-11,-26.4,-18.7,-10
2024-2-12,-24.2,-21.8,-7.1
2024-2-13,-15.8,-16,-6.5
2024-2-14,-14.9,-10.9,-1.2
2024-2-15,-11.8,-7,0.2
2024-2-16,-7.8,-2.4,0.9
2024-2-17,-5.4,-3.8,1.6
2024-2-18,-6.7,-9.9,-2.7
2024-2-19,-2.5,-5.6,-1.1
2024-2-20,-13.2,-2.2,-0.2
2024-2-21,-16.6,-0.6,0.1
2024-2-22,-4.9,-0.1,1.4
2024-2-23,0.3,1.6,2.2
2024-2-24,2.1,2.4,1.9
2024-2-25,0.5,1.9,2.2
2024-2-26,0.3,1.5,0.7
2024-2-27,-5,-1.1,-0.3
2024-2-28,-0.7,-0.5,-0.5
2024-2-29,0.3,0.9,1.2
2024-3-1,2.2,2,0.8
2024-3-2,0.5,1,0.9
2024-3-3,-1.6,0.4,0.6
2024-3-4,-7.2,0.3,0.5
2024-3-5,-10,-3.3,-0.1
2024-3-6,-2.7,-3.6,-0.8
2024-3-7,1.7,-4.4,-3.5
2024-3-8,-1.1,-2.6,-3.3
2024-3-9,1.8,-2.1,-0.8
2024-3-10,3,-0.6,-1.3
2024-3-11,0.7,-3,-0.4
2024-3-12,-3.2,-3.3,-0.5
2024-3-13,-8.7,-3.9,0.7
2024-3-14,-6.7,0,2.6
2024-3-15,-9.3,1.6,3.7
2024-3-16,-13.6,-2.7,3.8
2024-3-17,-8.7,-9,-1.3
2024-3-18,-3.1,-5,-3.1
2024-3-19,-3.1,-3.5,-0.3
2024-3-20,-4,-0.8,0.9
2024-3-21,-2.9,0,1.4
2024-3-22,-4.9,0.7,1.5
2024-3-23,-12.8,-1.9,2.4
2024-3-24,-17.9,-5.8,0.6
2024-3-25,-21,-6.3,0.7
2024-3-26,-22.4,-7.6,0.4
2024-3-27,-18.2,-3,2.6
2024-3-28,-6.4,2.5,5.7
2024-3-29,-7.7,0.7,4.7
2024-3-30,-12.2,-0.1,5.3
2024-3-31,-8.7,0.5,4.4
2024-4-1,-16.5,0.2,7.5
2024-4-2,-15.2,-4.1,3.2
2024-4-3,-16.6,-5.7,-1
2024-4-4,-16.4,-9.9,-2
2024-4-5,-15,-5.3,-1.4
2024-4-6,-11.7,-4.2,0.3
2024-4-7,-4.5,-1.6,2.9
2024-4-8,-3.6,1.7,6
2024-4-9,-1.6,3.1,7.6
2024-4-10,1.9,5.1,6.7
2024-4-11,2.6,3.6,5.9
2024-4-12,1.2,1.5,8.5
2024-4-13,2.3,4.3,5.1
2024-4-14,2.2,1,4.5
2024-4-15,1.6,1.8,6.6
2024-4-16,-2.2,2.6,4.5
2024-4-17,-4,-1.2,2.8
2024-4-18,-6.7,-2.7,0.3
2024-4-19,-6.6,-3.3,-1.9
2024-4-20,-7.2,-3.9,-1.6
2024-4-21,-3.7,-3.4,0
2024-4-22,-6.8,-3.8,-0.3
2024-4-23,-3.3,-0.3,-0.2
2024-4-24,1.8,1.1,3
2024-4-25,1.8,4,3.4
2024-4-26,1.1,2.6,3.8
2024-4-27,0.5,2.2,5.1
2024-4-28,0.9,2,6.6
2024-4-29,2.2,3.8,11
2024-4-30,2.5,1.5,11.5
2024-5-1,2.4,1.7,9.9
2024-5-2,1.1,5,10.2
2024-5-3,0.7,6,11.1
2024-5-4,-0.4,2.6,14.6
2024-5-5,-0.8,1.1,9
2024-5-6,-0.3,0.7,6.1
2024-5-7,-2,1.6,5.8
2024-5-8,-2.8,-0.2,4.4
2024-5-9,-1,1,5.6
2024-5-10,0.4,2,8.7
2024-5-11,3.8,3,10.2
2024-5-12,4.4,3.9,10.2
2024-5-13,5.2,5.3,12
2024-5-14,6.6,10.7,11.4
2024-5-15,6.2,9.1,15.2
2024-5-16,4.3,6.7,17.4
2024-5-17,3.6,12.3,16.4
2024-5-18,7.9,15.3,14.7
2024-5-19,1.8,10.1,16.4
2024-5-20,0.6,6.5,15.2
2024-5-21,1.1,6.6,13
2024-5-22,2.9,10.1,14.5
2024-5-23,11.5,13.7,17.4
2024-5-24,7.7,15.4,19.5
2024-5-25,5.1,11.4,19.7
2024-5-26,11.1,12.9,18.8
2024-5-27,9.6,16.4,19.7
2024-5-28,5.4,17.5,20.6
2024-5-29,7.7,15.2,19.7
2024-5-30,16,19.2,19.8
2024-5-31,14.1,18.5,21.6
2024-6-1,10.9,18.8,21.8
2024-6-2,10.7,17.8,20.1
2024-6-3,11.6,17.2,21.1
2024-6-4,10.7,15.8,20
2024-6-5,13.1,19.2,18
2024-6-6,16.6,16,16.3
